Id,PID,MS SubClass,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Land Slope,Neighborhood,Condition 1,Condition 2,Overall Qual,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Cars,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Sale Type,SalePrice,Total Baths,Has Finished Garage,Detached Garage,Has Finished Basement,Total sq ft,Is Remodeled,Has Pool,Has Fence,Has Paved Drive,Has Central Air,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Misc Feature_Gar2,Misc Feature_NA,Misc Feature_Othr,Misc Feature_Shed,Heating QC_Fa,Heating QC_Gd,Heating QC_Po,Heating QC_TA,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Age
109,533352170,60,0.0,13517,Pave,NA,IR1,Lvl,AllPub,Gtl,Sawyer,RRAe,Norm,6,8,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,533.0,0.0,192.0,725.0,GasA,SBrkr,725,754,0,1479,3,1,4,6,Typ,0,0,2.0,475.0,3,3,0,44,0,0,0,0,0,WD ,130500,3,1,0,1,1523,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42
544,531379050,60,43.0,11492,Pave,NA,IR1,Lvl,AllPub,Gtl,SawyerW,Norm,Norm,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,637.0,0.0,276.0,913.0,GasA,SBrkr,913,1209,0,2122,4,1,4,8,Typ,1,3,2.0,559.0,3,3,0,74,0,0,0,0,0,WD ,220000,3,1,0,1,2196,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22
153,535304180,20,68.0,7922,Pave,NA,Reg,Lvl,AllPub,Gtl,NAmes,Norm,Norm,5,7,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,4,CBlock,3,731.0,0.0,326.0,1057.0,GasA,SBrkr,1057,0,0,1057,3,1,4,5,Typ,0,0,1.0,246.0,3,3,0,52,0,0,0,0,0,WD ,109000,1,0,1,1,1109,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,65
318,916386060,60,73.0,9802,Pave,NA,Reg,Lvl,AllPub,Gtl,Timber,Norm,Norm,5,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,PConc,4,0.0,0.0,384.0,384.0,GasA,SBrkr,744,700,0,1444,3,1,3,7,Typ,0,0,2.0,400.0,3,3,100,0,0,0,0,0,0,WD ,174000,3,1,0,0,1544,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12
255,906425045,50,82.0,14235,Pave,NA,IR1,Lvl,AllPub,Gtl,SawyerW,Norm,Norm,6,8,Gable,CompShg,Wd Sdng,Plywood,NA,0.0,3,3,PConc,2,0.0,0.0,676.0,676.0,GasA,SBrkr,831,614,0,1445,3,1,3,6,Typ,0,0,2.0,484.0,3,3,0,59,0,0,0,0,0,WD ,138500,2,0,1,0,1504,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118
138,535126040,20,137.0,16492,Pave,NA,IR1,Lvl,AllPub,Gtl,NAmes,PosA,Norm,6,6,Gable,CompShg,BrkFace,Plywood,NA,0.0,4,3,CBlock,3,247.0,713.0,557.0,1517.0,GasA,SBrkr,1888,0,0,1888,2,1,4,6,Mod,1,4,2.0,578.0,3,3,0,0,0,0,0,0,0,WD ,190000,3,1,0,1,1888,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52
2827,908186070,180,35.0,3675,Pave,NA,Reg,Lvl,AllPub,Gtl,Edwards,Norm,Norm,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,547.0,0.0,0.0,547.0,GasA,SBrkr,1072,0,0,1072,2,1,3,5,Typ,0,0,2.0,525.0,3,3,0,44,0,0,0,0,0,New,140000,2,1,0,1,1116,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,13
145,535154050,20,0.0,12160,Pave,NA,IR1,Lvl,AllPub,Gtl,NAmes,Norm,Norm,5,5,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,1000.0,0.0,188.0,1188.0,GasA,SBrkr,1188,0,0,1188,3,1,3,6,Typ,0,0,2.0,531.0,3,3,0,0,0,0,0,0,0,COD,142000,1,1,0,1,1188,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59
1942,535353130,20,0.0,15783,Pave,NA,Reg,Lvl,AllPub,Gtl,OldTown,Artery,Norm,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,NA,0.0,3,3,CBlock,3,292.0,0.0,632.0,924.0,GasA,SBrkr,924,0,0,924,2,1,3,6,Typ,0,0,1.0,420.0,3,3,0,324,0,0,0,0,400,WD ,112500,1,0,1,1,1248,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,66
1956,535426130,60,70.0,11606,Pave,NA,IR1,HLS,AllPub,Sev,NAmes,Norm,Norm,5,5,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,650.0,0.0,390.0,1040.0,GasA,SBrkr,1040,1040,0,2080,5,1,2,9,Typ,2,3,2.0,504.0,3,3,335,0,0,0,0,0,0,WD ,135000,3,0,0,1,2415,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,49
